ID,TIME,AMT,DV,EVID,MDV,CMT,XEXP,BQL,XEXP2,AGE,BLOOD
195,0,1,.,1,1,1,24,0,1,5,0
195,59.9,.,.,2,1,-1,24,0,1,5,0
195,59.9,.,0,2,1,1,24,0,1,5,0
195,59.9,.,.,2,1,-5,24,0,1,5,0
195,59.9,.,0,2,1,5,24,0,1,5,0
195,59.9,.,.,2,1,-6,24,0,1,5,0
195,59.9,.,0,2,1,6,24,0,1,5,0
195,59.9,.,.,2,1,-7,24,0,1,5,0
195,59.9,.,0,2,1,7,24,0,1,5,0
195,60,.,7.61,0,0,2,24,0,1,5,0
195,60,.,26.5,0,0,4,24,0,1,5,0
195,60,.,0.684,0,0,3,24,0,1,5,0
196,0,1,.,1,1,1,24,1,1,5,0
196,59.9,.,.,2,1,-1,24,1,1,5,0
196,59.9,.,0,2,1,1,24,1,1,5,0
196,59.9,.,.,2,1,-5,24,1,1,5,0
196,59.9,.,0,2,1,5,24,1,1,5,0
196,59.9,.,.,2,1,-6,24,1,1,5,0
196,59.9,.,0,2,1,6,24,1,1,5,0
196,59.9,.,.,2,1,-7,24,1,1,5,0
196,59.9,.,0,2,1,7,24,1,1,5,0
196,60,.,32.5,0,0,2,24,1,1,5,0
196,60,.,9.37,0,0,4,24,1,1,5,0
196,60,.,.,0,1,3,24,1,1,5,0
197,0,1,.,1,1,1,24,0,1,5,0
197,59.9,.,.,2,1,-1,24,0,1,5,0
197,59.9,.,0,2,1,1,24,0,1,5,0
197,59.9,.,.,2,1,-5,24,0,1,5,0
197,59.9,.,0,2,1,5,24,0,1,5,0
197,59.9,.,.,2,1,-6,24,0,1,5,0
197,59.9,.,0,2,1,6,24,0,1,5,0
197,59.9,.,.,2,1,-7,24,0,1,5,0
197,59.9,.,0,2,1,7,24,0,1,5,0
197,60,.,12.1,0,0,2,24,0,1,5,0
197,60,.,22.6,0,0,4,24,0,1,5,0
197,60,.,1.27,0,0,3,24,0,1,5,0
198,0,1,.,1,1,1,24,0,1,5,0
198,59.9,.,.,2,1,-1,24,0,1,5,0
198,59.9,.,0,2,1,1,24,0,1,5,0
198,59.9,.,.,2,1,-5,24,0,1,5,0
198,59.9,.,0,2,1,5,24,0,1,5,0
198,59.9,.,.,2,1,-6,24,0,1,5,0
198,59.9,.,0,2,1,6,24,0,1,5,0
198,59.9,.,.,2,1,-7,24,0,1,5,0
198,59.9,.,0,2,1,7,24,0,1,5,0
198,120,.,3.42,0,0,2,24,0,1,5,0
198,120,.,18.3,0,0,4,24,0,1,5,0
198,120,.,1.43,0,0,3,24,0,1,5,0
199,0,1,.,1,1,1,24,0,1,5,0
199,59.9,.,.,2,1,-1,24,0,1,5,0
199,59.9,.,0,2,1,1,24,0,1,5,0
199,59.9,.,.,2,1,-5,24,0,1,5,0
199,59.9,.,0,2,1,5,24,0,1,5,0
199,59.9,.,.,2,1,-6,24,0,1,5,0
